idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,232,160,240,147,85,240,192,168,99,28122,0.2198095952727102
2,80,168,72,58,146,168,158,82,169,27575,0.21553408682330505
3,48,104,208,110,196,208,117,147,69,17474,0.13658178180055966
4,104,176,144,77,104,176,170,98,137,12432,0.09717206772030203
5,216,56,64,179,189,216,126,190,162,10545,0.08242273601275618
6,32,120,80,76,187,120,114,92,143,9645,0.07538807860057216
7,168,128,128,0,61,168,146,144,134,8535,0.06671200112554519
8,112,120,200,117,112,200,135,146,85,6074,0.047476121246228645
9,176,208,248,107,74,248,210,126,105,2435,0.01903265644296456
10,136,200,112,52,112,200,190,91,166,1888,0.01475714799355938
11,168,128,127,1,62,168,146,143,135,1495,0.011685347590239021
12,40,136,208,103,206,208,139,126,83,789,0.00616704966468133
13,200,160,176,168,51,200,178,145,125,639,0.004994606762650659
14,80,184,224,98,164,224,180,110,99,290,0.002266722943925964
